OP;                                                              CPU; GPU; HPU; COMPOUND; DI_DE; MISSING; TERT; IN_TOPOS; COUNT; TOPOS_LIST
aten::atan2;                                                     YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::atanh;                                                     YES; YES; YES; NO;       DT_DT; NO;      YES;  NO;           0;
aten::avg_pool2d;                                                YES; YES; YES; NO;       DT_DT; NO;      YES;  YES;          2; densenet161, inception_v3
aten::avg_pool2d_backward;                                       YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::avg_pool3d;                                                YES; YES; NO;  NO;       DT_DT; YES;     YES;  NO;           0;
aten::avg_pool3d_backward;                                       YES; YES; NO;  NO;       DT_DT; YES;     NO;   NO;           0;
aten::baddbmm;                                                   YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::batch_norm_backward_elemt;                                 NO;  YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::batch_norm_backward_reduce;                                NO;  YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::batch_norm_elemt;                                          NO;  YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::batch_norm_gather_stats;                                   NO;  YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::batch_norm_gather_stats_with_counts;                       NO;  YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::batch_norm_stats;                                          NO;  YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::batch_norm_update_stats;                                   YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::bernoulli;                                                 YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::binary_cross_entropy;                                      YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::binary_cross_entropy_backward;                             YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::binary_cross_entropy_with_logits;                          NO;  NO;  YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::bincount;                                                  YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::binomial;                                                  YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::bitwise_and;                                               YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::bitwise_left_shift;                                        YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::bitwise_not;                                               YES; YES; YES; NO;       DT_DT; NO;      YES;  NO;           0;
aten::bitwise_or;                                                YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::bitwise_right_shift;                                       YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::bitwise_xor;                                               YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::bmm;                                                       YES; YES; YES; NO;       DT_DT; NO;      YES;  YES;          2; dlrm_a, dlrm_github
aten::bucketize;                                                 YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::cat;                                                       YES; YES; YES; NO;       DT_DT; NO;      YES;  YES;          8; densenet161, dlrm_a, dlrm_github, googlenet, inception_v3, shufflenet_v2_x1_0, squeezenet1_0, unet3d
aten::cauchy;                                                    YES; YES; NO;  NO;       DT_DT; YES;     NO;   NO;           0;
aten::ceil;                                                      YES; YES; YES; NO;       DT_DT; NO;      YES;  NO;           0;
aten::channel_shuffle;                                           YES; NO;  YES; NO;       DT_DF; NO;      NO;   YES;          1; shufflenet_v2_x1_0
aten::cholesky;                                                  YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::cholesky_inverse;                                          YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::clamp;                                                     YES; YES; YES; NO;       DT_DT; NO;      YES;  NO;           0;
aten::clamp_max;                                                 YES; YES; YES; NO;       DT_DT; NO;      YES;  NO;           0;
aten::clamp_min;                                                 YES; YES; YES; NO;       DT_DT; NO;      YES;  NO;           0;
aten::clone;                                                     NO;  NO;  YES; NO;       DT_DT; NO;      YES;  NO;           0;
aten::col2im;                                                    YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::complex;                                                   YES; YES; NO;  NO;       DT_DT; YES;     NO;   NO;           0;
aten::conj_physical;                                             YES; YES; NO;  YES;      DF_DT; YES;     NO;   NO;           0;
aten::constant_pad_nd;                                           NO;  NO;  YES; NO;       DT_DT; NO;      YES;  NO;           0;
aten::conv_depthwise3d;                                          NO;  YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::convolution_backward;                                      NO;  YES; NO;  NO;       DT_DT; YES;     NO;   NO;           0;
aten::convolution_backward_overrideable;                         NO;  NO;  YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::convolution_overrideable;                                  NO;  NO;  YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::copy;                                                      NO;  NO;  YES; YES;      DF_DT; NO;      YES;  NO;           0;
aten::copysign;                                                  YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::cos;                                                       YES; YES; YES; NO;       DT_DT; NO;      YES;  NO;           0;
aten::cosh;                                                      YES; YES; YES; NO;       DT_DT; NO;      YES;  NO;           0;
aten::count_nonzero;                                             YES; YES; NO;  NO;       DT_DT; YES;     NO;   NO;           0;
