OP;                                                                  CPU; GPU; HPU; COMPOUND; DI_DE; MISSING; TERT; IN_TOPOS; COUNT; TOPOS_LIST
aten::moveaxis.intlist;                                              NO;  NO;  NO;  YES;      DF_DT; NO;      NO;   NO;           0;
aten::movedim.int;                                                   NO;  NO;  NO;  YES;      DF_DT; NO;      NO;   NO;           0;
aten::movedim.intlist;                                               NO;  NO;  NO;  YES;      DF_DT; NO;      NO;   NO;           0;
aten::mps_convolution_backward;                                      NO;  NO;  NO;  NO;       DT_DF; NO;      NO;   NO;           0;
aten::mps_convolution_backward.out;                                  NO;  NO;  NO;  NO;       DT_DT; NO;      NO;   NO;           0;
aten::mps_convolution_transpose_backward;                            NO;  NO;  NO;  NO;       DT_DF; NO;      NO;   NO;           0;
aten::mps_convolution_transpose_backward.out;                        NO;  NO;  NO;  NO;       DT_DT; NO;      NO;   NO;           0;
aten::mse_loss;                                                      YES; YES; YES; NO;       DT_DT; NO;      NO;   YES;          2; dlrm_a, dlrm_github
aten::mse_loss.out;                                                  YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::mse_loss_backward;                                             YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::mse_loss_backward.grad_input;                                  YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::msort;                                                         NO;  NO;  NO;  YES;      DF_DT; NO;      NO;   NO;           0;
aten::msort.out;                                                     NO;  NO;  NO;  YES;      DF_DT; NO;      NO;   NO;           0;
aten::mul.Scalar;                                                    NO;  NO;  YES; NO;       DT_DT; NO;      YES;  NO;           0;
aten::mul.Scalar_out;                                                NO;  NO;  YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::mul.Tensor;                                                    YES; YES; YES; NO;       DT_DT; NO;      YES;  YES;          2; googlenet, inception_v3
aten::mul.out;                                                       YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::mul_.Scalar;                                                   NO;  NO;  YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::mul_.Tensor;                                                   YES; YES; YES; NO;       DT_DT; NO;      YES;  NO;           0;
aten::multi_margin_loss;                                             YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::multi_margin_loss.out;                                         YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::multi_margin_loss_backward;                                    YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::multi_margin_loss_backward.grad_input;                         YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::multilabel_margin_loss;                                        NO;  NO;  NO;  YES;      DF_DT; NO;      NO;   NO;           0;
aten::multilabel_margin_loss.out;                                    NO;  NO;  NO;  YES;      DF_DT; NO;      NO;   NO;           0;
aten::multilabel_margin_loss_backward;                               YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::multilabel_margin_loss_backward.grad_input;                    YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::multilabel_margin_loss_forward;                                YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::multilabel_margin_loss_forward.output;                         YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::multinomial;                                                   YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::multinomial.out;                                               YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::multiply.Scalar;                                               NO;  NO;  NO;  YES;      DF_DT; NO;      NO;   NO;           0;
aten::multiply.Tensor;                                               NO;  NO;  NO;  YES;      DF_DT; NO;      NO;   NO;           0;
aten::multiply.out;                                                  NO;  NO;  NO;  YES;      DF_DT; NO;      NO;   NO;           0;
aten::multiply_.Scalar;                                              NO;  NO;  NO;  YES;      DF_DT; NO;      NO;   NO;           0;
aten::multiply_.Tensor;                                              NO;  NO;  NO;  YES;      DF_DT; NO;      NO;   NO;           0;
aten::mv;                                                            NO;  NO;  YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::mv.out;                                                        NO;  NO;  YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::mvlgamma;                                                      NO;  NO;  NO;  NO;       DT_DT; NO;      NO;   NO;           0;
aten::mvlgamma.out;                                                  YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::mvlgamma_;                                                     NO;  NO;  NO;  NO;       DT_DT; NO;      NO;   NO;           0;
aten::nan_to_num;                                                    NO;  NO;  YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::nan_to_num.out;                                                YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::nan_to_num_;                                                   NO;  NO;  YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::nanmean;                                                       NO;  NO;  NO;  YES;      DF_DT; NO;      NO;   NO;           0;
aten::nanmean.out;                                                   NO;  NO;  NO;  YES;      DF_DT; NO;      NO;   NO;           0;
aten::nanmedian;                                                     YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::nanmedian.dim;                                                 NO;  NO;  NO;  NO;       DT_DT; NO;      NO;   NO;           0;
aten::nanmedian.dim_values;                                          YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::nanmedian.names_dim;                                           NO;  NO;  NO;  YES;      DF_DT; NO;      NO;   NO;           0;
aten::nanmedian.names_dim_values;                                    NO;  NO;  NO;  YES;      DF_DT; NO;      NO;   NO;           0;
